Bastia;Paris SG
Nancy;Lyon
Bordeaux;St Etienne
Montpellier;Angers
Nice;Rennes
Marseille;Toulouse
Dijon;Nantes
Monaco;Guingamp
Caen;Lorient
Metz;Lille
St Etienne;Montpellier
Lorient;Bastia
Lille;Dijon
Lyon;Caen
Paris SG;Metz
Toulouse;Bordeaux
Angers;Nice
Rennes;Nancy
Nantes;Monaco
Guingamp;Marseille
Nancy;Guingamp
St Etienne;Toulouse
Bordeaux;Nantes
Montpellier;Rennes
Nice;Lille
Marseille;Lorient
Dijon;Lyon
Monaco;Paris SG
Caen;Bastia
Metz;Angers
Lorient;Nancy
Lille;Monaco
Nice;Marseille
Lyon;Bordeaux
Paris SG;St Etienne
Bastia;Toulouse
Angers;Dijon
Rennes;Caen
Nantes;Metz
Guingamp;Montpellier
Nancy;Nantes
St Etienne;Bastia
Lorient;Lille
Bordeaux;Angers
Montpellier;Nice
Marseille;Lyon
Dijon;Metz
Toulouse;Guingamp
Monaco;Rennes
Caen;Paris SG
Lille;Toulouse
Nice;Monaco
Lyon;Montpellier
Paris SG;Dijon
Bastia;Nancy
Angers;Caen
Rennes;Marseille
Nantes;St Etienne
Guingamp;Lorient
Metz;Bordeaux
Nancy;Nice
St Etienne;Lille
Lorient;Lyon
Bordeaux;Caen
Montpellier;Metz
Marseille;Nantes
Bastia;Guingamp
Dijon;Rennes
Toulouse;Paris SG
Monaco;Angers
Lille;Nancy
Nice;Lorient
Lyon;St Etienne
Paris SG;Bordeaux
Dijon;Montpellier
Angers;Marseille
Rennes;Guingamp
Nantes;Bastia
Caen;Toulouse
Metz;Monaco
Nancy;Paris SG
St Etienne;Dijon
Lorient;Nantes
Montpellier;Caen
Nice;Lyon
Marseille;Metz
Bastia;Angers
Toulouse;Monaco
Rennes;Bordeaux
Guingamp;Lille
Bordeaux;Nancy
Lille;Bastia
Lyon;Guingamp
Paris SG;Marseille
Dijon;Lorient
Angers;Toulouse
Monaco;Montpellier
Nantes;Rennes
Caen;St Etienne
Metz;Nice
Nancy;Caen
St Etienne;Monaco
Lorient;Montpellier
Lille;Paris SG
Nice;Nantes
Marseille;Bordeaux
Bastia;Dijon
Toulouse;Lyon
Rennes;Metz
Guingamp;Angers
Bordeaux;Lorient
Montpellier;Marseille
Lyon;Bastia
Paris SG;Rennes
Dijon;Guingamp
Angers;Lille
Monaco;Nancy
Nantes;Toulouse
Caen;Nice
Metz;St Etienne
Nancy;Dijon
St Etienne;Nice
Lorient;Monaco
Lille;Lyon
Marseille;Caen
Paris SG;Nantes
Bastia;Montpellier
Toulouse;Metz
Rennes;Angers
Guingamp;Bordeaux
Bordeaux;Dijon
Montpellier;Nancy
Nice;Bastia
Lyon;Paris SG
Angers;St Etienne
Rennes;Toulouse
Monaco;Marseille
Nantes;Lille
Caen;Guingamp
Metz;Lorient
Nancy;Metz
St Etienne;Marseille
Lorient;Rennes
Lille;Caen
Paris SG;Angers
Bastia;Bordeaux
Dijon;Monaco
Toulouse;Montpellier
Nantes;Lyon
Guingamp;Nice
Bordeaux;Lille
Montpellier;Paris SG
Nice;Toulouse
Marseille;Nancy
Angers;Lorient
Rennes;St Etienne
Monaco;Bastia
Caen;Dijon
Guingamp;Nantes
Metz;Lyon
Nancy;Angers
St Etienne;Guingamp
Bordeaux;Monaco
Lille;Montpellier
Lyon;Rennes
Paris SG;Nice
Bastia;Metz
Dijon;Marseille
Toulouse;Lorient
Nantes;Caen
Lorient;St Etienne
Montpellier;Bordeaux
Nice;Dijon
Marseille;Lille
Toulouse;Nancy
Angers;Nantes
Rennes;Bastia
Monaco;Lyon
Caen;Metz
Guingamp;Paris SG
St Etienne;Nancy
Bordeaux;Nice
Lille;Rennes
Lyon;Angers
Paris SG;Lorient
Bastia;Marseille
Dijon;Toulouse
Monaco;Caen
