id,player,profits,weights,nb.wins,wins.ratio,nb.match.played
1,adndebanane_elo,27.3,0.0182071340900351,30,0.5,60
2,adndebanane_hasard,-133,0.00280772347430625,16,0.266666666666667,60
3,adndebanane,-46.7,0.0106726877319761,26,0.433333333333333,60
4,Rockaround,-85.9,0.00700666418566649,15,0.375,40
5,mrBen,-112.5,0.00280772347430625,16,0.266666666666667,60
6,Clem,-210.7,0.00547411690403208,21,0.35,60
7,Matchaos,-38.2,0.0104589272975546,18,0.45,40
8,Emeric,-63.8,0.00915156138536031,17,0.425,40
9,Ricocotam,-55.3,0.00686632956539214,7,0.35,20
10,Bouli1515,47.8,0.0115957569312501,7,0.7,10
11,Xalfen,-57.7,0.00594756734446777,2,0.2,10
