Teams,GamesPlayed,Won,Drawn,Lost,GoalsFor,GoalsAgainst,GoalDifference,Points
Monaco,5,4,1,0,13,4,9,13
Nice,5,3,2,0,7,4,3,11
Paris SG,5,3,1,1,12,4,8,10
Metz,5,3,1,1,8,5,3,10
Bordeaux,5,3,0,2,8,8,0,9
Toulouse,5,2,2,1,7,4,3,8
Guingamp,5,2,2,1,8,6,2,8
St Etienne,5,2,2,1,7,5,2,8
Lyon,5,2,1,2,8,7,1,7
Rennes,5,2,1,2,5,5,0,7
Bastia,5,2,0,3,5,5,0,6
Montpellier,5,1,3,1,5,6,-1,6
Angers,5,2,0,3,4,5,-1,6
Caen,5,2,0,3,5,12,-7,6
Marseille,5,1,2,2,5,5,0,5
Dijon,5,1,1,3,5,7,-2,4
Lille,5,1,1,3,5,9,-4,4
Nantes,5,1,1,3,2,6,-4,4
Nancy,5,1,1,3,3,8,-5,4
Lorient,5,1,0,4,3,10,-7,3
